f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
201090,499833,349550,2198.2,9543.2,3.9697,105.036,41547.6,14,66,23,263,6274.57,148.916,148.916,159.783,0.5,11.5238,0.178571,0.575282,0.230342,0.657492,13.6364,3.52672
157458,409599,276498,1996.94,6901.52,3.57377,100.146,6361.73,7,61,25,250,5859.41,151.648,151.648,165.36,0.487805,16.8571,0.244898,0.569474,0.289348,0.849002,2.46456,1.95872
249778,538704,398562,2373.42,11424.3,3.74713,108.113,23778.7,14,87,25,312,7436.33,148.833,148.833,164.04,0.5,13.8571,0.175676,0.626698,0.207752,0.650923,8.28236,3.7362
246284,526394,388532,2301.45,10338.4,3.47619,103.388,17671.5,9,84,23,345,7994.7,152.574,152.574,161.174,0.527273,20.5625,0.2,0.633884,0.222613,0.773305,6.0272,2.58904
275004,563965,439962,2491,11912,3.71765,107.489,28952.9,13,85,26,352,8180.89,147.54,147.54,164.538,0.370968,14.3043,0.197183,0.625062,0.209117,0.686778,8.94896,3.49684
266279,552412,481869,2579.57,11722.8,3.49425,104.673,29559.2,12,87,20,367,8716.24,155.801,155.801,159,0.26087,27.2308,0.175676,0.552596,0.220047,0.743527,9.65774,3.43421
109911,309400,205513,1738.41,4269.47,3.35135,102.368,17671.5,10,37,18,192,4729.19,151.312,151.312,151.111,0.37037,20.3333,0.275862,0.534815,0.407173,1.10768,5.94883,2.98387
237436,538200,350398,2314.87,10275.6,3.68571,107.803,23778.7,12,70,42,300,6336.46,141.453,141.453,167.667,0.346154,9.71429,0.186441,0.677618,0.225278,0.616648,7.01034,3.25581
318474,705900,486816,2608.75,13188.2,3.64835,103.913,32685.1,15,91,28,347,8281.55,149.971,149.971,161.679,0.378788,15.5238,0.181818,0.654198,0.197809,0.62795,9.33938,4.11145
237980,478200,341973,2235.46,10148.4,3.66667,108.078,55571.6,22,72,52,293,6799.61,148.208,148.208,173.135,0.5,19.9286,0.2,0.695901,0.220277,0.67002,16.813,6
216274,630135,422745,2474.94,9457.22,3.60526,109.328,6647.61,6,76,14,316,7340.54,154.475,154.475,142.429,0.52,23.3077,0.245902,0.511594,0.261699,0.776183,2.33601,1.66423
229119,515412,340359,2366.75,9173.81,3.45455,103.481,27759.1,14,77,33,312,7399.92,156.92,156.92,164.182,0.375,23,0.203125,0.673169,0.257989,0.806635,9.329,4.05263
175842,726560,509239,2798.21,7554.49,3.53846,114.115,38707.6,19,65,18,283,7229.46,160.138,160.138,151.056,0.413043,20.7692,0.25,0.345303,0.370403,0.956975,14.3083,5.36957
367871,707921,555064,2788.67,15448.2,3.95402,106.506,45996.1,16,87,26,329,7914.54,156.046,156.046,165.115,0.45,24.3077,0.175676,0.662755,0.180518,0.512327,10.8779,4.04651
118036,357896,201620,1899.08,4924.38,3.34783,104.731,16741.5,12,46,30,217,4920.24,150.134,150.134,163.667,0.277778,11.7647,0.243243,0.58544,0.385648,0.999159,6.52437,3.58442
172017,406755,291623,2049.03,7380.01,3.61404,103.007,24328.5,11,57,23,235,5643.26,148.506,148.506,161.261,0.425,15.7857,0.266667,0.58986,0.277646,0.764668,8.06157,3.04369
167741,405513,289538,2043.36,6957.92,3.38776,105.034,40828.1,16,49,23,232,5616.71,151.866,151.866,161.087,0.25641,12.6471,0.166667,0.57934,0.293673,0.807239,11.9266,4.72289
219170,520492,406904,2455.1,8818.63,3.54545,105.28,16741.5,9,66,26,295,6934.86,143.149,143.149,164.462,0.434783,15.3889,0.178571,0.538627,0.278399,0.786388,5.04149,2.53846
214146,525084,362912,2270.05,9384.52,3.4186,108.526,13273.2,10,86,22,329,7602.88,149.419,149.419,157.727,0.457627,12.7083,0.246377,0.590078,0.241893,0.810151,5.33046,2.92517
207178,510378,352799,2254.49,8310.75,3.89091,101.799,14526.7,8,55,22,241,5867.87,156.124,156.124,157.273,0.666667,33.4286,0.222222,0.58724,0.271274,0.706058,3.85645,2.05607
271464,684216,459420,2585.31,11992.6,3.48235,102.37,15836.8,10,85,25,335,8556.87,156.418,156.418,163.28,0.370968,19.9375,0.214286,0.590884,0.215575,0.713511,4.95876,2.87162
202080,502665,352478,2205.52,9623.21,3.66197,103.677,10935.9,8,71,21,261,6390.42,150.18,150.18,155.667,0.392157,17.6429,0.183333,0.573312,0.229188,0.664063,3.84228,2.18462
156705,409599,277032,1997.72,6410.22,3.41818,107.045,40828.1,11,55,23,245,5845.37,153.482,153.482,161.348,0.27907,26.2222,0.195652,0.565657,0.311646,0.911883,14.3298,3.21809
253817,539554,399220,2373.96,10449,3.51282,110.939,24328.5,10,78,25,323,7455.54,146.068,146.068,164.96,0.444444,12.4583,0.2,0.635784,0.227196,0.71352,7.47633,2.84672
237871,524675,386579,2292.88,9337.01,3.34247,107.152,17203.4,10,73,22,340,7939.24,152.426,152.426,157.5,0.351852,23.2857,0.177419,0.615322,0.245569,0.850298,5.27953,2.9918
276491,568491,440520,2495.23,12559.8,3.82222,107.429,28952.9,13,90,25,364,8144.66,145.852,145.852,163.68,0.578947,15.5455,0.168831,0.627647,0.198668,0.64847,9.4244,3.40116
261336,551760,480370,2576.12,11566.4,3.52174,103.845,28952.9,12,92,21,366,8836.18,152.525,152.525,155.857,0.393939,27.1538,0.15,0.54403,0.222724,0.763952,10.1925,3.40741
112377,307248,203313,1732.17,4939.4,3.42222,107.046,35298.9,15,45,15,194,4747.26,148.567,148.567,150.8,0.451613,16.6364,0.285714,0.552731,0.350684,0.961102,14.135,4.38312
